actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
-5.077464,-2.059409,-1.424830,0.570681,1.967354,6.199400,0.295857,0.552599,0.443030,-1.355404,-0.148937,-0.115951
-5.077416,-2.059386,-1.424854,0.570705,1.967354,6.199424,0.295826,0.552602,0.443036,-1.355379,-0.148959,-0.115897
-5.077428,-2.059422,-1.424878,0.570693,1.967354,6.199400,0.295838,0.552611,0.443003,-1.355447,-0.148950,-0.115905
-5.077464,-2.059422,-1.424842,0.570705,1.967378,6.199364,0.295856,0.552600,0.443019,-1.355402,-0.148981,-0.115964
-5.077440,-2.059409,-1.424878,0.570681,1.967330,6.199412,0.295845,0.552605,0.443010,-1.355448,-0.148914,-0.115922
-5.077464,-2.059362,-1.424866,0.570681,1.967366,6.199412,0.295850,0.552582,0.443045,-1.355393,-0.148942,-0.115936
-5.077452,-2.059446,-1.424854,0.570693,1.967378,6.199412,0.295852,0.552613,0.442998,-1.355450,-0.148946,-0.115899
-5.077464,-2.059398,-1.424878,0.570681,1.967342,6.199388,0.295856,0.552594,0.443018,-1.355438,-0.148927,-0.115958
-5.077440,-2.059398,-1.424842,0.570669,1.967366,6.199436,0.295842,0.552603,0.443032,-1.355415,-0.148936,-0.115888
-5.077404,-2.059409,-1.424854,0.570657,1.967378,6.199412,0.295823,0.552618,0.443019,-1.355445,-0.148979,-0.115859
-5.077440,-2.059422,-1.424890,0.570681,1.967402,6.199376,0.295841,0.552609,0.442997,-1.355468,-0.148993,-0.115896
-5.077440,-2.059398,-1.424878,0.570669,1.967390,6.199424,0.295839,0.552602,0.443017,-1.355449,-0.148956,-0.115871
-5.077428,-2.059409,-1.424830,0.570693,1.967354,6.199388,0.295837,0.552608,0.443031,-1.355389,-0.148972,-0.115934
-5.077452,-2.059398,-1.424866,0.570729,1.967354,6.199436,0.295847,0.552593,0.443025,-1.355382,-0.148926,-0.115917
-5.077440,-2.059398,-1.424818,0.570693,1.967390,6.199400,0.295839,0.552601,0.443043,-1.355368,-0.148992,-0.115916
-5.077440,-2.059422,-1.424878,0.570681,1.967342,6.199400,0.295846,0.552609,0.443002,-1.355459,-0.148929,-0.115920
